city,year,pressure_mean,rel_hum_mean,temp_mean,temp_dew_mean,visib_mean,wind_chill_mean,wind_dir_mean,wind_spd_mean,pressure_sd,rel_hum_sd,temp_sd,temp_dew_sd,visib_sd,wind_chill_sd,wind_dir_sd,wind_spd_sd,pressure_min,rel_hum_min,temp_min,temp_dew_min,visib_min,wind_chill_min,wind_dir_min,wind_spd_min,pressure_max,rel_hum_max,temp_max,temp_dew_max,visib_max,wind_chill_max,wind_dir_max,wind_spd_max,snow_grnd_sum,total_precip_sum,total_rain_sum,total_snow_sum,snow_grnd_sd,total_precip_sd,total_rain_sd,total_snow_sd,snow_grnd_min,total_precip_min,total_rain_min,total_snow_min,snow_grnd_max,total_precip_max,total_rain_max,total_snow_max,precip,temp,date
Calgary,2004,89.00842326958106,62.45778183477864,4.873611111111111,-2.5381789137380193,36.154269125683065,-13.27664020058504,20.86743377681889,14.06193783445292,0.6814321155796995,19.8637185532877,10.738194537958972,9.685810601283377,20.689898672608077,10.195719808792468,10.210100382222096,9.396466879744718,86.63,12,-33.2,-39,0,-46,1,0,90.99,100,32.1,17.8,64.4,-1,36,70,341,386.8,290.6,121.5,2.1929478188588463,3.3721412747251267,3.1562882553032483,1.4819424346930503,0,0,0,0,11,45.8,45.8,19.8,386.8,4.9,2004-06-15
Calgary,2005,88.96684931506849,63.77203196347032,5.0379794520547945,-2.2387328767123287,38.11642694063927,-13.870207852193996,21.536532170119955,14.051826484018266,0.6548975251729583,21.2192135376615,10.510385722778834,9.03488973664681,20.928519652105383,8.691002007793886,10.062289252275159,9.344911675242916,86.73,14,-33.9,-38.8,0,-44,1,0,90.51,100,31.6,16.6,64.4,-1,36,59,246,539.6,486.2,73.4,1.6774217688035693,5.756076343551966,5.758986040681942,0.7081929520005772,0,0,0,0,8,64.8,64.8,5.8,539.6,5,2005-06-15
Calgary,2006,88.91935502283106,64.15399543378996,5.431175799086758,-1.8272945205479452,34.15740867579909,-11.942923254917085,21.283746223564954,13.890398447311338,0.7749841990131503,21.515419164081504,10.861676228411554,9.135110612619826,19.887963220994816,7.721711429992289,10.216757433113182,9.016571372660254,85.89,14,-29.5,-35.1,0,-41,1,0,91.26,100,31.8,18.5,64.4,-1,36,67,500,419.6,349.8,116,3.2221198456706386,3.830958491359174,3.778295088250438,1.3591309506964497,0,0,0,0,17,32.6,32.6,14.4,419.6,5.4,2006-06-15
Calgary,2007,88.92097054121946,64.99771585198721,4.9284197305320845,-1.959330744632252,35.20675953414022,-12.452844894777865,21.128907196510784,14.074788764558118,0.7045296073370064,20.252224403684764,10.692024694453975,9.284702621066556,19.69519777328898,6.834318691822265,10.008156389786228,9.321984568504776,86.33,13,-25.8,-27.8,0.2,-36,1,0,90.88,100,31.8,21.3,64.4,-1,36,65,468,511.40000000000003,394.8,161.5,2.994470291346427,5.218268723058848,5.136618969053278,1.4174266467656547,0,0,0,0,19,72.4,72.4,10.8,511.40000000000003,4.9,2007-06-15
Calgary,2008,88.89932946265938,63.97984513778183,4.5347677595628415,-2.6963447961739924,36.68260473588342,-13.991599847269951,21.777912768800874,13.558287795992713,0.7182300907288742,21.581101178891245,11.42656509348359,9.900373749114818,19.864127049447678,9.9486422826629,9.954977778419241,9.145055179206123,85.62,13,-32.6,-38.2,0,-48,1,0,91.18,100,33.7,16.8,64.4,-1,36,57,779,502.6,378,190.8,5.104648561252986,3.7524193458257202,3.5844667005093473,2.0865477619721995,0,0,0,0,29,35,35,23.4,502.6,4.5,2008-06-15
Calgary,2009,89.00275519525006,61.02501999314521,4.028100022836264,-3.8837769907460298,36.361977620461296,-14.442687747035572,21.42144850175907,14.109956611098424,0.7139287325370892,20.819843800236786,11.922978978619819,9.59029776811737,20.217762919868473,8.880721871254833,10.07813377474123,9.86489243480138,86.56,14,-32.4,-36.4,0.2,-39,1,0,90.97,100,32.5,13.7,64.4,-1,36,70,690,328,202,167.8,3.818555203429415,2.592746282063705,2.3124413976406464,1.555650788346223,0,0,0,0,19,24.2,24.2,16.8,328,4,2009-06-15
Calgary,2010,88.8830406485499,63.710093628682344,4.490226079013473,-2.677277917332724,35.39344599223567,-13.152790484903933,21.632519043866562,12.624457638730304,0.6975125650546925,19.506790974176802,10.535618761480604,8.797402462577441,21.986696756928307,7.576096577342335,10.073079796829406,9.596399354578137,86.13,13,-29.9,-34.7,0.2,-40,1,0,91.01,100,31.2,16.9,64.4,-1,36,78,595,454.5,343.8,130.9,3.262789077400018,3.7858992680869985,3.472738673485931,1.4944451312069624,0,0,0,0,18,33.8,33.8,18.4,454.5,4.5,2010-06-15
Calgary,2011,88.82385089622103,59.39056969973741,4.383388514670624,-3.6824637515698138,37.05650188377669,-14.824199912319159,21.734948882998864,13.916657152642996,0.6915904841193412,18.65436900856453,11.480641952741685,9.803096658269542,22.030159752247435,9.459806574300263,9.682522850846853,9.872035558125805,86.35,14,-29.7,-34.9,0.4,-37,1,0,90.83,100,29.5,17.8,64.4,-1,36,67,604,518.3,389,168.1,3.591237852336984,4.116605344266039,3.8806727062867896,2.0206297913958164,0,0,0,0,21,39.6,39.6,21,518.3,4.4,2011-06-15
Calgary,2012,88.84548088990303,64.24403879064461,4.833565316600114,-2.3017341699942953,31.707107815173988,-13.250524109014675,22.8406425891182,15.807644038790645,0.7457535266166003,20.750597317338553,11.388070104225367,9.605499941375173,21.708334941479514,8.013301032265522,9.069958824380038,9.147703294529245,86.02,12,-32.2,-36.3,0,-40,0,0,90.77,100,30.2,19.7,80.5,-1,36,67,424,497.1,369.7,141.2,2.8808501038819183,4.392201644752881,3.967098459285846,1.6722341958983877,0,0,0,0,15,36.2,36.2,17.7,497.1,4.8,2012-06-15
Calgary,2013,89.04948078682526,65.66720036596523,4.838939168289609,-1.8525731930466605,35.52336459286368,-13.40930706521739,21.592558354518143,16.014527568062228,0.6467989296536809,19.380357481171945,11.076783791274861,9.511758479144007,21.234783833337445,7.389502821514571,9.6734463678512,8.99740746830815,86.41,10,-29.9,-33.6,0,-41,1,0,90.74,100,32.3,21.9,80.5,-1,36,68,678,488.1,405.9,146.3,6.176534078960447,5.279905416571198,5.211768633867427,2.0966630370614636,0,0,0,0,22,51.2,51.2,21,488.1,4.8,2013-06-15
