city,year,month,pressure_mean,rel_hum_mean,temp_mean,temp_dew_mean,visib_mean,wind_chill_mean,wind_dir_mean,wind_spd_mean,pressure_sd,rel_hum_sd,temp_sd,temp_dew_sd,visib_sd,wind_chill_sd,wind_dir_sd,wind_spd_sd,pressure_min,rel_hum_min,temp_min,temp_dew_min,visib_min,wind_chill_min,wind_dir_min,wind_spd_min,pressure_max,rel_hum_max,temp_max,temp_dew_max,visib_max,wind_chill_max,wind_dir_max,wind_spd_max,snow_grnd_sum,total_precip_sum,total_rain_sum,total_snow_sum,snow_grnd_sd,total_precip_sd,total_rain_sd,total_snow_sd,snow_grnd_min,total_precip_min,total_rain_min,total_snow_min,snow_grnd_max,total_precip_max,total_rain_max,total_snow_max,precip,temp,date
Calgary,2004,01,88.93657258064516,61.57661290322581,-10.313978494623656,-16.551209677419354,29.908333333333335,-24.517311608961304,21.926553672316384,14.24731182795699,0.5735431659701091,12.457498839703195,12.513343329025295,11.741790116632796,21.034521658235015,12.357481651121454,10.351132387947489,8.560959825910638,87.03,36,-33.2,-39,0,-46,1,0,90.19,88,10.5,0,64.4,-1,36,46,59,16.900000000000002,0,27.2,2.3145170656773795,1.4619253764989555,0,2.2459904537374085,0,0,0,0,6,7.4,0,11.2,16.900000000000002,-10.3,2004-01-15
Calgary,2004,02,88.86331896551724,57.8448275862069,-3.0991379310344827,-10.666235632183907,36.43505747126437,-10.044334975369457,21.437898089171973,10.718390804597702,0.5796213514564934,13.15645976846718,6.721125235823531,4.649727544792332,22.61003420835908,6.298187466177817,9.147957827680987,8.556944640432478,87.64,27,-24.2,-27.7,0,-28,1,0,90.67,83,10.2,-3.4,64.4,-1,36,50,106,2.2,0,5.4,4.073221452968904,0.26410924743613345,0,0.6588540581576009,0,0,0,0,11,1.2,0,3,2.2,-3.1,2004-02-15
Calgary,2004,03,88.86422043010752,60.15860215053763,1.331451612903226,-6.734139784946237,37.858870967741936,-9.8125,20.111888111888113,17.041666666666668,0.8939637171929402,21.823076829274438,7.204857045781373,4.4880299672755495,21.551830587783925,5.914772159852846,8.921777164588809,10.867098053238445,86.63,12,-17.1,-21.3,0.8,-25,1,0,90.99,99,25.2,3.7,64.4,-1,36,56,18,10.9,2.6,10.200000000000001,1.3108316329309706,1.0330766243739893,0.3715703380640496,1.0665188069562568,0,0,0,0,4,4.1,2,5.4,10.9,1.3,2004-03-15
Calgary,2004,04,89.17551388888889,53.165277777777774,6.289861111111111,-4.033055555555555,40.65916666666667,-6.2265625,20.323275862068964,14.955555555555556,0.6320701465678883,23.354596535555654,6.1562090264500515,2.827033534659379,21.847901956223012,2.0243200229010507,11.25813936932043,10.521755577942866,87.45,14,-5,-14.9,0.4,-10,1,0,90.82,99,24,2.2,64.4,-2,36,63,24,18,4,13.799999999999999,2.265178686717367,1.920488443617656,0.5208304597621878,1.8050885927250797,0,0,0,0,8,9.8,2.8,9.6,18,6.3,2004-04-15
Calgary,2004,05,88.92713709677419,67.0828729281768,8.029704301075268,1.5140883977900552,38.51586021505376,-5.855670103092783,20,14.564516129032258,0.5763658387712286,22.72789998946826,6.173742158597406,2.772447999365809,21.83526704078076,2.0816144111484793,11.319223590645935,9.02865955941671,87.5,23,-3.2,-6,0.6,-10,1,0,90.02,100,21.4,9.7,64.4,-1,36,50,15,55.6,29.4,27.2,1.4345955932349126,3.9730706415291235,2.1571386862758626,3.585034604892896,0,0,0,0,6,19.8,8.4,19.8,55.6,8,2004-05-15
Calgary,2004,06,89.343625,66.08194444444445,13.239027777777778,6.261527777777777,42.54347222222223,NaN,20.231548480463097,14.325,0.6507911508652422,19.682676146878254,4.670883581781307,3.5889461572158208,18.352829621165828,NaN,10.743717560464027,9.609044041899535,87.53,20,2.1,-3,3.2,Inf,1,0,90.52,99,26.2,14.8,64.4,-Inf,36,50,0,98.2,98.2,0,0,8.764896023276634,8.764896023276634,0,0,0,0,0,0,45.8,45.8,0,98.2,13.2,2004-06-15
Calgary,2004,07,89.19529569892474,65.95161290322581,16.863037634408602,9.692741935483872,41.4119623655914,NaN,19.77150916784203,13.18010752688172,0.4473052783510327,18.608391067521804,5.547457499055823,2.738642472613324,17.273649929226067,NaN,10.924301971597696,7.533671887033421,88.2,21,5.2,1.1,4.8,Inf,1,0,90.27,99,32.1,17.8,64.4,-Inf,36,48,0,54.2,54.2,0,0,3.4378162611113012,3.4378162611113012,0,0,0,0,0,0,15.4,15.4,0,54.2,16.9,2004-07-15
Calgary,2004,08,89.32095430107528,72.74327956989248,15.084811827956988,9.613306451612903,29.300940860215054,NaN,18.67321178120617,11.690860215053764,0.5805325703210362,18.145144076686964,5.107205789271162,2.3721858062767183,16.30677593027218,NaN,11.088057799519152,6.664715737927512,87.9,26,5.4,4.6,0.6,Inf,1,0,90.55,99,28.6,15.8,64.4,-Inf,36,43,0,58.6,58.6,0,0,3.5318885258654173,3.5318885258654173,0,0,0,0,0,0,15.6,15.6,0,58.6,15.1,2004-08-15
Calgary,2004,09,88.97256944444445,66.3125,9.667638888888888,3.0188888888888887,37.57819444444445,-4.333333333333333,21.185238784370476,12.373611111111112,0.5330873503716401,18.071819612779144,5.134060360027414,2.921300392303721,19.57473562783291,1.2309149097933272,10.639159920769645,7.725875333432989,87.97,23,-3.2,-7,1.6,-7,1,0,90.24,97,22.6,11.7,64.4,-2,36,48,0,30.400000000000002,30.400000000000002,0,0,2.0143850491990816,2.0143850491990816,0,0,0,0,0,0,9.4,9.4,0,30.400000000000002,9.7,2004-09-15
Calgary,2004,10,88.69426075268817,59.87096774193548,4.109139784946237,-4.134811827956989,33.468548387096774,-8.294354838709678,21.722925457102672,13.801075268817204,0.7053887881264533,20.36205311695226,7.716914167318674,4.35995918672415,21.04228595374467,2.962322166564433,9.120354601075835,8.484373978273807,87.21,14,-9.6,-13.6,0.6,-17,1,0,90.52,89,23.7,7,64.4,-1,36,46,63,24.1,12,13.5,2.9493939599827614,1.5322553480451302,1.2836775128470732,1.0852183765174557,0,0,0,0,9,6.4,6.4,4,24.1,4.1,2004-10-15
